symbol,interval,open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,price_range,price_change,percent_change,candle_direction
ADAUSDT,1h,2026-01-01 00:00:00+00:00,0.45,0.45177176,0.44715246,0.45166418,167797.70647719,2026-01-01 00:59:59+00:00,75648.59080216,5257,83937.47760982,37841.7085071,0.004619300000000048,0.001664180000000015,0.36981777777778113,up
ADAUSDT,1h,2026-01-01 01:00:00+00:00,0.45166418,0.45193988,0.45055155,0.45091508,160670.82133519,2026-01-01 01:59:59+00:00,72509.07539758,6044,81015.81894225,36561.59889682,0.0013883299999999932,-0.0007491000000000025,-0.16585331163520706,down
ADAUSDT,1h,2026-01-01 02:00:00+00:00,0.45091508,0.45281178,0.44998036,0.45225068,202775.73275665,2026-01-01 02:59:59+00:00,91570.04902208,4456,104687.86278452,47275.24638611,0.0028314199999999734,0.0013355999999999923,0.2961976787292171,up
ADAUSDT,1h,2026-01-01 03:00:00+00:00,0.45225068,0.45261976,0.45054175,0.4507636,130179.18720009,2026-01-01 03:59:59+00:00,58776.83267724,5906,59550.16676411,26887.32556316,0.0020780099999999635,-0.0014870800000000295,-0.3288176371564614,down
ADAUSDT,1h,2026-01-01 04:00:00+00:00,0.4507636,0.45440567,0.4491016,0.45364324,148329.49458926,2026-01-01 04:59:59+00:00,67075.10492955,4423,60488.84305439,27353.26177828,0.005304069999999994,0.0028796400000000166,0.6388359663468871,up
ADAUSDT,1h,2026-01-01 05:00:00+00:00,0.45364324,0.45871452,0.45280208,0.45854917,98211.20558908,2026-01-01 05:59:59+00:00,44793.75800164,3442,42098.38267641,19200.91250848,0.005912440000000019,0.004905930000000003,1.0814511420913058,up
ADAUSDT,1h,2026-01-01 06:00:00+00:00,0.45854917,0.46209864,0.45847021,0.46186648,117178.81068141,2026-01-01 06:59:59+00:00,53926.60535983,4006,62871.51687738,28933.96390784,0.003628430000000016,0.0033173100000000177,0.7234360493990246,up
ADAUSDT,1h,2026-01-01 07:00:00+00:00,0.46186648,0.46717793,0.45953834,0.46691529,130593.17558575,2026-01-01 07:59:59+00:00,60646.28046847,3722,52451.81284866,24358.14382208,0.007639590000000029,0.005048809999999959,1.0931319371780257,up
ADAUSDT,1h,2026-01-01 08:00:00+00:00,0.46691529,0.4744796,0.46659323,0.47325828,162419.90942683,2026-01-01 08:59:59+00:00,76351.45301688,5591,72379.03316264,34024.42698944,0.007886369999999976,0.006342989999999993,1.358488388761052,up
ADAUSDT,1h,2026-01-01 09:00:00+00:00,0.47325828,0.47502622,0.47310022,0.47440643,93837.34379766,2026-01-01 09:59:59+00:00,44463.16933102,3376,41774.99098285,19794.34223839,0.0019259999999999833,0.0011481500000000144,0.24260536973595362,up
ADAUSDT,1h,2026-01-01 10:00:00+00:00,0.47440643,0.47596148,0.47162985,0.4738146,86062.09215836,2026-01-01 10:59:59+00:00,40802.94270283,7045,46239.38426025,21922.5782138,0.004331629999999975,-0.0005918300000000154,-0.12475168180161794,down
ADAUSDT,1h,2026-01-01 11:00:00+00:00,0.4738146,0.47427433,0.47120472,0.47252199,113795.91436478,2026-01-01 11:59:59+00:00,53844.61856428,5430,46079.82089922,21803.51020227,0.0030696100000000004,-0.0012926099999999718,-0.27280923804373525,down
ADAUSDT,1h,2026-01-01 12:00:00+00:00,0.47252199,0.47410138,0.46592569,0.46612673,206925.12041759,2026-01-01 12:59:59+00:00,97114.99945223,5482,121349.12687655,56952.10115796,0.008175690000000013,-0.006395260000000014,-1.3534311916361847,down
ADAUSDT,1h,2026-01-01 13:00:00+00:00,0.46612673,0.46672236,0.46172092,0.46272719,187382.00807698,2026-01-01 13:59:59+00:00,87025.25676596,5189,108431.60511799,50358.56096206,0.005001440000000024,-0.0033995399999999787,-0.7293166817530458,down
ADAUSDT,1h,2026-01-01 15:00:00+00:00,0.46158419,0.46193845,0.4611739,0.46143167,82107.66132486,2026-01-01 15:59:59+00:00,37893.33673525,3005,35708.02905428,16479.53853846,0.000764549999999975,-0.00015251999999998933,-0.03304272618175881,down
ADAUSDT,1h,2026-01-01 16:00:00+00:00,0.46143167,0.46501123,0.46076677,0.46498485,171853.89369765,2026-01-01 16:59:59+00:00,79604.1431743,3401,97641.09431532,45228.16145933,0.0042444600000000055,0.003553179999999989,0.7700338383795783,up
ADAUSDT,1h,2026-01-01 17:00:00+00:00,0.46498485,0.46686209,0.46333766,0.4657477,157436.04595671,2026-01-01 17:59:59+00:00,73265.42643588,3530,89652.70096567,41721.3435936,0.003524430000000023,0.0007628499999999816,0.16405910859245879,up
ADAUSDT,1h,2026-01-01 18:00:00+00:00,0.4657477,0.4688827,0.46549237,0.4681773,209884.452651,2026-01-01 18:59:59+00:00,98008.16910406,6726,122091.32630658,57012.07118324,0.003390329999999997,0.0024296000000000317,0.5216558235284966,up
ADAUSDT,1h,2026-01-01 19:00:00+00:00,0.4681773,0.4724339,0.46742299,0.47116968,167841.39569992,2026-01-01 19:59:59+00:00,78830.65429912,5927,93700.20270766,44008.50133903,0.005010910000000035,0.002992379999999961,0.6391552943724441,up
ADAUSDT,1h,2026-01-01 20:00:00+00:00,0.47116968,0.4723323,0.46951375,0.46954997,200416.30545725,2026-01-01 20:59:59+00:00,94267.77845085,7737,103182.98822731,48533.13233131,0.0028185499999999752,-0.0016197099999999964,-0.343763630970481,down
